iso;country;year;age;educ;score;oecd_avg;adj_factor
68;Bolivia (Plurinational State of);2015;30;1;128.2891508;220.5048407;0.581797435
68;Bolivia (Plurinational State of);2015;30;2;174.9901375;281.6560371;0.621290207
68;Bolivia (Plurinational State of);2015;35;1;109.3894692;218.4231869;0.500814363
68;Bolivia (Plurinational State of);2015;35;2;193.3927761;282.1194364;0.685499654
68;Bolivia (Plurinational State of);2015;40;1;115.5066938;220.529862;0.523768948
68;Bolivia (Plurinational State of);2015;40;2;181.2370205;279.7219405;0.647918501
68;Bolivia (Plurinational State of);2015;45;1;88.10883382;217.6583691;0.404803336
68;Bolivia (Plurinational State of);2015;45;2;169.633647;275.6841011;0.615318933
68;Bolivia (Plurinational State of);2015;50;1;74.27807333;217.2121216;0.341960995
68;Bolivia (Plurinational State of);2015;50;2;184.8420854;272.336376;0.678727125
68;Bolivia (Plurinational State of);2015;55;1;113.9768309;212.5508421;0.536233259
68;Bolivia (Plurinational State of);2015;55;2;132.2769971;268.3968391;0.492841114
68;Bolivia (Plurinational State of);2015;60;1;104.4097541;211.9832538;0.492537747
68;Bolivia (Plurinational State of);2015;60;2;154.5482576;265.4258749;0.582265228
124;Canada;2015;15;1;262.4434857;256.2964279;1.023984173
124;Canada;2015;15;2;280.2994508;274.7400014;1.020235311
124;Canada;2015;20;1;237.8247381;228.5203541;1.040715778
124;Canada;2015;20;2;285.1257304;280.6633385;1.015899447
124;Canada;2015;25;1;234.2286454;221.9268472;1.055431771
124;Canada;2015;25;2;290.9099363;284.0089092;1.024298629
124;Canada;2015;30;1;226.9520115;220.5048407;1.029238228
124;Canada;2015;30;2;287.9269531;281.6560371;1.022264447
124;Canada;2015;35;1;219.8448002;218.4231869;1.006508527
124;Canada;2015;35;2;285.9447251;282.1194364;1.013559111
124;Canada;2015;40;1;222.2095981;220.529862;1.007616819
124;Canada;2015;40;2;281.4761417;279.7219405;1.006271232
124;Canada;2015;45;1;209.5763171;217.6583691;0.962868177
124;Canada;2015;45;2;278.1505307;275.6841011;1.008946579
124;Canada;2015;50;1;209.9781588;217.2121216;0.966696321
124;Canada;2015;50;2;273.8136904;272.336376;1.005424594
124;Canada;2015;55;1;221.9237089;212.5508421;1.044097058
124;Canada;2015;55;2;271.2397276;268.3968391;1.010592108
124;Canada;2015;60;1;218.5729909;211.9832538;1.031086121
124;Canada;2015;60;2;267.06609;265.4258749;1.00617956
152;Chile;2015;15;1;223.7460296;256.2964279;0.872997066
152;Chile;2015;15;2;250.4117938;274.7400014;0.911450071
152;Chile;2015;20;1;191.924892;228.5203541;0.83985907
152;Chile;2015;20;2;244.4270331;280.6633385;0.870890493
152;Chile;2015;25;1;188.8737905;221.9268472;0.85106328
152;Chile;2015;25;2;240.3010541;284.0089092;0.84610393
152;Chile;2015;30;1;185.1491567;220.5048407;0.839660282
152;Chile;2015;30;2;240.8158565;281.6560371;0.854999804
152;Chile;2015;35;1;186.9696698;218.4231869;0.855997353
152;Chile;2015;35;2;231.2915589;282.1194364;0.819835605
152;Chile;2015;40;1;177.1936821;220.529862;0.80349065
152;Chile;2015;40;2;230.318426;279.7219405;0.823383484
152;Chile;2015;45;1;173.3211012;217.6583691;0.796298814
152;Chile;2015;45;2;226.7803394;275.6841011;0.822609423
152;Chile;2015;50;1;179.7625299;217.2121216;0.827589771
152;Chile;2015;50;2;213.4174055;272.336376;0.783653688
152;Chile;2015;55;1;172.2070603;212.5508421;0.810192322
152;Chile;2015;55;2;217.8583719;268.3968391;0.81170245
152;Chile;2015;60;1;171.1282828;211.9832538;0.807272649
152;Chile;2015;60;2;210.9014795;265.4258749;0.794577694
170;Colombia;2015;15;1;174.25977;256.2964279;0.679914938
170;Colombia;2015;15;2;225.3542598;274.7400014;0.820245536
170;Colombia;2015;20;1;188.1860488;228.5203541;0.823497975
170;Colombia;2015;20;2;224.822273;280.6633385;0.801038975
170;Colombia;2015;25;1;129.2619305;221.9268472;0.582452876
170;Colombia;2015;25;2;220.1327861;284.0089092;0.775091129
170;Colombia;2015;30;1;173.6576153;220.5048407;0.787545592
170;Colombia;2015;30;2;219.2367835;281.6560371;0.778384819
170;Colombia;2015;35;1;177.1258917;218.4231869;0.810929893
170;Colombia;2015;35;2;222.8757135;282.1194364;0.790004816
170;Colombia;2015;40;1;188.2446857;220.529862;0.853601793
170;Colombia;2015;40;2;212.9657862;279.7219405;0.761348165
170;Colombia;2015;45;1;199.2484453;217.6583691;0.915418259
170;Colombia;2015;45;2;213.2654518;275.6841011;0.773586329
170;Colombia;2015;50;1;165.2760919;217.2121216;0.760897185
170;Colombia;2015;50;2;204.3250133;272.336376;0.750267064
170;Colombia;2015;55;1;145.0476239;212.5508421;0.682413781
170;Colombia;2015;55;2;205.2829063;268.3968391;0.76484845
170;Colombia;2015;60;1;149.0421524;211.9832538;0.703084558
170;Colombia;2015;60;2;204.7755524;265.4258749;0.771498078
196;Cyprus;2015;15;1;261.5358691;256.2964279;1.020442896
196;Cyprus;2015;15;2;268.7348454;274.7400014;0.978142404
196;Cyprus;2015;20;1;237.3980503;228.5203541;1.038848602
196;Cyprus;2015;20;2;272.2810675;280.6633385;0.970134072
196;Cyprus;2015;25;1;248.9954255;221.9268472;1.121970725
196;Cyprus;2015;25;2;277.1005236;284.0089092;0.975675462
196;Cyprus;2015;30;1;250.3520388;220.5048407;1.135358471
196;Cyprus;2015;30;2;276.5889692;281.6560371;0.982009731
196;Cyprus;2015;35;1;251.0820168;218.4231869;1.149520893
196;Cyprus;2015;35;2;273.5405256;282.1194364;0.96959121
196;Cyprus;2015;40;1;248.7810656;220.529862;1.128106023
196;Cyprus;2015;40;2;274.1123737;279.7219405;0.979945918
196;Cyprus;2015;45;1;248.5876336;217.6583691;1.142100047
196;Cyprus;2015;45;2;276.8958007;275.6841011;1.004395247
196;Cyprus;2015;50;1;254.079932;217.2121216;1.169731828
196;Cyprus;2015;50;2;276.7159537;272.336376;1.016081501
196;Cyprus;2015;55;1;251.2187079;212.5508421;1.181922901
196;Cyprus;2015;55;2;273.7081013;268.3968391;1.01978884
196;Cyprus;2015;60;1;243.6779808;211.9832538;1.149515239
196;Cyprus;2015;60;2;270.9046369;265.4258749;1.020641401
203;Czech Republic;2015;15;1;275.7595089;256.2964279;1.075939728
203;Czech Republic;2015;15;2;273.214866;274.7400014;0.994448805
203;Czech Republic;2015;20;1;261.0889421;228.5203541;1.142519418
203;Czech Republic;2015;20;2;287.7795695;280.6633385;1.025355043
203;Czech Republic;2015;25;1;252.2349654;221.9268472;1.136568056
203;Czech Republic;2015;25;2;285.7911376;284.0089092;1.006275255
203;Czech Republic;2015;30;1;261.3026988;220.5048407;1.185020238
203;Czech Republic;2015;30;2;289.5156311;281.6560371;1.027904937
203;Czech Republic;2015;35;1;259.5314844;218.4231869;1.188204824
203;Czech Republic;2015;35;2;280.5603094;282.1194364;0.994473522
203;Czech Republic;2015;40;1;243.763913;220.529862;1.105355578
203;Czech Republic;2015;40;2;273.7276261;279.7219405;0.978570453
203;Czech Republic;2015;45;1;232.843212;217.6583691;1.069764572
203;Czech Republic;2015;45;2;273.7166677;275.6841011;0.99286345
203;Czech Republic;2015;50;1;235.3304771;217.2121216;1.083413188
203;Czech Republic;2015;50;2;266.1296727;272.336376;0.977209422
203;Czech Republic;2015;55;1;242.1272952;212.5508421;1.139150016
203;Czech Republic;2015;55;2;268.3652595;268.3968391;0.99988234
203;Czech Republic;2015;60;1;239.0007836;211.9832538;1.127451246
203;Czech Republic;2015;60;2;265.7667288;265.4258749;1.001284178
208;Denmark;2015;15;1;271.5302744;256.2964279;1.059438388
208;Denmark;2015;15;2;287.7630052;274.7400014;1.047401193
208;Denmark;2015;20;1;254.7329138;228.5203541;1.11470558
208;Denmark;2015;20;2;292.2082842;280.6633385;1.041134499
208;Denmark;2015;25;1;251.8163736;221.9268472;1.134681887
208;Denmark;2015;25;2;288.3088448;284.0089092;1.015140143
208;Denmark;2015;30;1;240.4566237;220.5048407;1.09048229
208;Denmark;2015;30;2;282.5665964;281.6560371;1.003232877
208;Denmark;2015;35;1;247.039544;218.4231869;1.131013367
208;Denmark;2015;35;2;289.2452074;282.1194364;1.025257994
208;Denmark;2015;40;1;237.337011;220.529862;1.076212576
208;Denmark;2015;40;2;283.7492195;279.7219405;1.014397437
208;Denmark;2015;45;1;236.1515327;217.6583691;1.084964174
208;Denmark;2015;45;2;276.1117454;275.6841011;1.001551211
208;Denmark;2015;50;1;237.3403092;217.2121216;1.092666042
208;Denmark;2015;50;2;268.7889587;272.336376;0.986974133
208;Denmark;2015;55;1;232.5616536;212.5508421;1.094146
208;Denmark;2015;55;2;265.2890465;268.3968391;0.988420905
208;Denmark;2015;60;1;227.5982286;211.9832538;1.07366136
208;Denmark;2015;60;2;255.9436367;265.4258749;0.964275382
218;Ecuador;2015;15;1;198.8709629;256.2964279;0.77594122
218;Ecuador;2015;15;2;214.841991;274.7400014;0.781982929
218;Ecuador;2015;20;1;173.6618672;228.5203541;0.759940479
218;Ecuador;2015;20;2;217.333063;280.6633385;0.774355013
218;Ecuador;2015;25;1;175.5817015;221.9268472;0.791169269
218;Ecuador;2015;25;2;214.5448833;284.0089092;0.755416032
218;Ecuador;2015;30;1;181.9753189;220.5048407;0.825266775
218;Ecuador;2015;30;2;210.0156693;281.6560371;0.7456459
218;Ecuador;2015;35;1;175.5745113;218.4231869;0.803827258
218;Ecuador;2015;35;2;205.4864944;282.1194364;0.728367024
218;Ecuador;2015;40;1;174.9681289;220.529862;0.793398804
218;Ecuador;2015;40;2;208.2849822;279.7219405;0.74461439
218;Ecuador;2015;45;1;175.3805357;217.6583691;0.805760589
218;Ecuador;2015;45;2;210.2013369;275.6841011;0.762471742
218;Ecuador;2015;50;1;167.7386549;217.2121216;0.772234319
218;Ecuador;2015;50;2;204.2837291;272.336376;0.750115472
218;Ecuador;2015;55;1;175.5942172;212.5508421;0.826128071
218;Ecuador;2015;55;2;205.2299698;268.3968391;0.764651217
218;Ecuador;2015;60;1;163.0188687;211.9832538;0.769017674
218;Ecuador;2015;60;2;205.4733927;265.4258749;0.774127213
233;Estonia;2015;15;1;277.7633966;256.2964279;1.083758361
233;Estonia;2015;15;2;294.9146729;274.7400014;1.073431868
233;Estonia;2015;20;1;260.2510769;228.5203541;1.138852939
233;Estonia;2015;20;2;297.1820676;280.6633385;1.058856027
233;Estonia;2015;25;1;247.1398214;221.9268472;1.113609392
233;Estonia;2015;25;2;293.1627737;284.0089092;1.032230906
233;Estonia;2015;30;1;251.7163194;220.5048407;1.141545549
233;Estonia;2015;30;2;289.2232953;281.6560371;1.026867019
233;Estonia;2015;35;1;242.0963522;218.4231869;1.108382107
233;Estonia;2015;35;2;284.7291156;282.1194364;1.009250264
233;Estonia;2015;40;1;247.0683007;220.529862;1.120339433
233;Estonia;2015;40;2;279.7792098;279.7219405;1.000204737
233;Estonia;2015;45;1;235.1081915;217.6583691;1.080170694
233;Estonia;2015;45;2;273.0618499;275.6841011;0.990488203
233;Estonia;2015;50;1;239.5247826;217.2121216;1.102722909
233;Estonia;2015;50;2;269.9979281;272.336376;0.991413384
233;Estonia;2015;55;1;238.0032877;212.5508421;1.119747564
233;Estonia;2015;55;2;265.6424606;268.3968391;0.989737664
233;Estonia;2015;60;1;239.7048515;211.9832538;1.130772583
